Name,Size(KB),Allocation Time(us),Release Time(us),Active Release Time(us),Duration(us),Active Duration(us),Allocation Total Allocated(MB),Allocation Total Reserved(MB),Allocation Total Active(MB),Release Total Allocated(MB),Release Total Reserved(MB),Release Total Active(MB),Stream Ptr,Device Type
aten::empty_like,393216.0,1783598303441015.045	,1783598303507910.046	,1783598303507909.455	,66895.001	,66894.410	,3716.5009765625,9626.0,3716.5009765625,2826.5009765625,9626.0,2826.5009765625,61,NPU:3
aten::zero_,0.5,1783598303441088.305	,1783598303441157.138	,1783598303441156.387	,68.833	,68.082	,3716.50146484375,9626.0,3716.50146484375,3716.5009765625,9626.0,3716.5009765625,61,NPU:3
aten::zeros,6144.0,1783598303441290.929	,1783598303441746.732	,1783598303441746.091	,455.803	,455.162	,3722.5009765625,9626.0,3722.5009765625,3722.5009765625,9626.0,3722.5009765625,61,NPU:3
aten::zero_,0.5,1783598303441353.382	,1783598303441408.585	,1783598303441407.323	,55.203	,53.941	,3722.50146484375,9626.0,3722.50146484375,3722.5009765625,9626.0,3722.5009765625,61,NPU:3
aten::add,6144.0,1783598303441557.328	,1783598303443922.995	,1783598303443922.444	,2365.667	,2365.116	,3728.5009765625,9626.0,3728.5009765625,2692.5009765625,9626.0,2692.5009765625,61,NPU:3
aten::add,16384.5,1783598303441672.811	,1783598303441741.965	,1783598303441741.424	,69.154	,68.613	,3744.50146484375,9626.0,3744.50146484375,3728.5009765625,9626.0,3728.5009765625,61,NPU:3
aten::empty_strided,786432.0,1783598303442026.081	,1783598303443920.742	,1783598303443920.241	,1894.661	,1894.160	,4490.5009765625,9626.0,4490.5009765625,2698.5009765625,9626.0,2698.5009765625,61,NPU:3
aten::zero_,0.5,1783598303442094.193	,1783598303442176.126	,1783598303442175.425	,81.933	,81.232	,4490.50146484375,9626.0,4490.50146484375,4490.5009765625,9626.0,4490.5009765625,61,NPU:3
aten::zeros,6144.0,1783598303443085.950	,1783598303443914.352	,1783598303443913.781	,828.402	,827.831	,2832.5009765625,9626.0,2832.5009765625,3466.5009765625,9626.0,3466.5009765625,61,NPU:3
aten::zero_,0.5,1783598303443094.423	,1783598303443100.792	,1783598303443100.412	,6.369	,5.989	,2832.50146484375,9626.0,2832.50146484375,2832.5009765625,9626.0,2832.5009765625,61,NPU:3
aten::empty_like,393216.0,1783598303443372.069	,1783598303507905.429	,1783598303507904.978	,64533.360	,64532.909	,3216.5009765625,9626.0,3216.5009765625,3594.5009765625,9626.0,3594.5009765625,61,NPU:3
aten::zero_,0.5,1783598303443378.008	,1783598303443383.095	,1783598303443382.515	,5.087	,4.507	,3216.50146484375,9626.0,3216.50146484375,3216.5009765625,9626.0,3216.5009765625,61,NPU:3
aten::empty_like,131072.0,1783598303443394.593	,1783598303507901.603	,1783598303507900.942	,64507.010	,64506.349	,3344.5009765625,9626.0,3344.5009765625,4106.5009765625,9626.0,4106.5009765625,61,NPU:3
aten::zero_,0.5,1783598303443398.389	,1783598303443402.795	,1783598303443402.344	,4.406	,3.955	,3344.50146484375,9626.0,3344.50146484375,3344.5009765625,9626.0,3344.5009765625,61,NPU:3
