Component,Timestamp(us),Total Allocated(MB),Total Reserved(MB),Total Active(MB),Stream Ptr,Device Type
PTA+GE,1783598303373463.319	,2692.50341796875,9626.0,2692.50341796875,61,NPU:3
PTA,1783598303373465.793	,2708.50390625,9626.0,2708.50390625,61,NPU:3
PTA+GE,1783598303373465.793	,2708.50390625,9626.0,2708.50390625,61,NPU:3
PTA,1783598303373497.971	,2692.50341796875,9626.0,2692.50341796875,61,NPU:3
PTA+GE,1783598303373497.971	,2692.50341796875,9626.0,2692.50341796875,61,NPU:3
PTA,1783598303373498.532	,2692.50341796875,9626.0,2692.50341796875,61,NPU:3
PTA+GE,1783598303373498.532	,2692.50341796875,9626.0,2692.50341796875,61,NPU:3
PTA,1783598303373501.196	,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
PTA+GE,1783598303373501.196	,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
PTA,1783598303373502.218	,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
PTA+GE,1783598303373502.218	,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
PTA,1783598303373503.430	,2692.50244140625,9626.0,2692.50244140625,61,NPU:3
PTA+GE,1783598303373503.430	,2692.50244140625,9626.0,2692.50244140625,61,NPU:3
PTA,1783598303373504.011	,2692.50244140625,9626.0,2692.50244140625,61,NPU:3
PTA+GE,1783598303373504.011	,2692.50244140625,9626.0,2692.50244140625,61,NPU:3
PTA,1783598303373892.903	,3076.50244140625,9626.0,3076.50244140625,61,NPU:3
PTA+GE,1783598303373892.903	,3076.50244140625,9626.0,3076.50244140625,61,NPU:3
PTA,1783598303373932.343	,6148.50439453125,9626.0,6148.50439453125,61,NPU:3
PTA+GE,1783598303373932.343	,6148.50439453125,9626.0,6148.50439453125,61,NPU:3
PTA,1783598303373963.680	,3076.50244140625,9626.0,3076.50244140625,61,NPU:3
PTA+GE,1783598303373963.680	,3076.50244140625,9626.0,3076.50244140625,61,NPU:3
PTA,1783598303373964.150	,3076.50244140625,9626.0,3076.50244140625,61,NPU:3
PTA+GE,1783598303373964.150	,3076.50244140625,9626.0,3076.50244140625,61,NPU:3
PTA,1783598303374049.008	,3204.50244140625,9626.0,3204.50244140625,61,NPU:3
PTA+GE,1783598303374049.008	,3204.50244140625,9626.0,3204.50244140625,61,NPU:3
PTA,1783598303374078.272	,4228.50439453125,9626.0,4228.50439453125,61,NPU:3
PTA+GE,1783598303374078.272	,4228.50439453125,9626.0,4228.50439453125,61,NPU:3
PTA,1783598303374107.015	,3204.50244140625,9626.0,3204.50244140625,61,NPU:3
PTA+GE,1783598303374107.015	,3204.50244140625,9626.0,3204.50244140625,61,NPU:3
PTA,1783598303374107.545	,3204.50244140625,9626.0,3204.50244140625,61,NPU:3
PTA+GE,1783598303374107.545	,3204.50244140625,9626.0,3204.50244140625,61,NPU:3
PTA,1783598303374195.087	,3332.50244140625,9626.0,3332.50244140625,61,NPU:3
PTA+GE,1783598303374195.087	,3332.50244140625,9626.0,3332.50244140625,61,NPU:3
PTA,1783598303374225.522	,4356.50439453125,9626.0,4356.50439453125,61,NPU:3
PTA+GE,1783598303374225.522	,4356.50439453125,9626.0,4356.50439453125,61,NPU:3
PTA,1783598303374253.765	,3332.50244140625,9626.0,3332.50244140625,61,NPU:3
